#SampleID	Metaphlan2_Analysis
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus MK	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus PA10	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus PAKP1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus PAKP2	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus PAKP4	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus PaP1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus zigelbrucke	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pamexvirus PaMx28	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pamexvirus PaMx74	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus Ab28	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus antinowhere	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus BrSP1	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus crassa	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus datas	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus DL60	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus DP1	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus E215	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus E217	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus Epa14	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus EPa61	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus Epa7	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus F8	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus KPP12	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus KTN6	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus LBL3	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus LMA2	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus LS1	13
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus PA01	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus Pa193	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus PA5	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus PA8P1	9
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus PaGU11	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus PB1	18
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus PS44	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus pv141	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus R12	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus R26	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus S1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus SL1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus SN	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pbunavirus USP1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Phikzvirus PA7	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Phikzvirus phiKZ	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Phikzvirus SL2	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Plaisancevirus PMW	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pseudomonas virus DL68	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pseudomonas virus JG024	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pseudomonas virus NH4	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Samunavirus SM1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Septimatrevirus Ab26	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Septimatrevirus kakheti25	6
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Septimatrevirus sv73	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Tabernariusvirus tabernarius	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Beetrevirus	6
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Bruynoghevirus	37
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Casadabanvirus	40
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Detrevirus	4
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Elvirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Harrisonburgvirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Hollowayvirus	18
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Kochitakasuvirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Krylovvirus	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Nankokuvirus	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Nickievirus	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Nipunavirus	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Otagovirus	10
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Pakpunavirus	36
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Pamexvirus	4
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Pbunavirus	72
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Petsuvirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Phikzvirus	15
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Samunavirus	5
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ unclassified Septimatrevirus	16
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Vicosavirus NV1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Vicosavirus UFVP2	1
d__Viruses|k__ Monodnaviria	5
d__Viruses|k__ Monodnaviria|p__ Loebvirae	5
d__Viruses|k__ Monodnaviria|p__ Loebvirae|c__ Hofneiviricota	5
d__Viruses|k__ Monodnaviria|p__ Loebvirae|c__ Hofneiviricota|o__ Faserviricetes	5
d__Viruses|k__ Monodnaviria|p__ Loebvirae|c__ Hofneiviricota|o__ Faserviricetes|f__ Tubulavirales	5
d__Viruses|k__ Monodnaviria|p__ Loebvirae|c__ Hofneiviricota|o__ Faserviricetes|f__ Tubulavirales|g__ Inoviridae	5
d__Viruses|k__ Monodnaviria|p__ Loebvirae|c__ Hofneiviricota|o__ Faserviricetes|f__ Tubulavirales|g__ Inoviridae|s__	3
d__Viruses|k__ Monodnaviria|p__ Loebvirae|c__ Hofneiviricota|o__ Faserviricetes|f__ Tubulavirales|g__ Inoviridae|s__ Primolicivirus Pf8	1
d__Viruses|k__ Monodnaviria|p__ Loebvirae|c__ Hofneiviricota|o__ Faserviricetes|f__ Tubulavirales|g__ Inoviridae|s__ Tertilicivirus Pf3	1
d__Viruses|k__ Riboviria	10
d__Viruses|k__ Riboviria|p__ Orthornavirae	10
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota	7
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes	7
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes|f__ Mindivirales	7
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes|f__ Mindivirales|g__ Cystoviridae	7
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes|f__ Mindivirales|g__ Cystoviridae|s__ Cystovirus phi12	1
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes|f__ Mindivirales|g__ Cystoviridae|s__ Cystovirus phi13	1
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes|f__ Mindivirales|g__ Cystoviridae|s__ Cystovirus phi2954	1
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes|f__ Mindivirales|g__ Cystoviridae|s__ Cystovirus phi6	1
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes|f__ Mindivirales|g__ Cystoviridae|s__ Cystovirus phi8	1
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes|f__ Mindivirales|g__ Cystoviridae|s__ Cystovirus phiNN	1
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Duplornaviricota|o__ Vidaverviricetes|f__ Mindivirales|g__ Cystoviridae|s__ Cystovirus phiYY	1
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Lenarviricota	3
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Lenarviricota|o__ Leviviricetes	3
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Lenarviricota|o__ Leviviricetes|f__ Norzivirales	3
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Lenarviricota|o__ Leviviricetes|f__ Norzivirales|g__ Fiersviridae	3
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Lenarviricota|o__ Leviviricetes|f__ Norzivirales|g__ Fiersviridae|s__ Pepevirus rubrum	1
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Lenarviricota|o__ Leviviricetes|f__ Norzivirales|g__ Fiersviridae|s__ Pepevirus spumicola	1
d__Viruses|k__ Riboviria|p__ Orthornavirae|c__ Lenarviricota|o__ Leviviricetes|f__ Norzivirales|g__ Fiersviridae|s__ Perrunavirus olsenii	1
d__Viruses|k__ unclassified bacterial viruses	2
d__Viruses|k__ unclassified bacterial viruses|p__	2
d__Viruses|k__ unclassified bacterial viruses|p__|c__	2
d__Viruses|k__ unclassified bacterial viruses|p__|c__|o__	2
d__Viruses|k__ unclassified bacterial viruses|p__|c__|o__|f__	2
d__Viruses|k__ unclassified bacterial viruses|p__|c__|o__|f__|g__	2
d__Viruses|k__ unclassified bacterial viruses|p__|c__|o__|f__|g__|s__	2
d__Viruses|k__ Varidnaviria	1
d__Viruses|k__ Varidnaviria|p__ Bamfordvirae	1
d__Viruses|k__ Varidnaviria|p__ Bamfordvirae|c__ Preplasmiviricota	1
d__Viruses|k__ Varidnaviria|p__ Bamfordvirae|c__ Preplasmiviricota|o__ Tectiliviricetes	1
d__Viruses|k__ Varidnaviria|p__ Bamfordvirae|c__ Preplasmiviricota|o__ Tectiliviricetes|f__ Kalamavirales	1
d__Viruses|k__ Varidnaviria|p__ Bamfordvirae|c__ Preplasmiviricota|o__ Tectiliviricetes|f__ Kalamavirales|g__ Tectiviridae	1
d__Viruses|k__ Varidnaviria|p__ Bamfordvirae|c__ Preplasmiviricota|o__ Tectiliviricetes|f__ Kalamavirales|g__ Tectiviridae|s__ Alphatectivirus PRD1	1
