#SampleID	Metaphlan2_Analysis
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Phikmvvirus RLP	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Phutvirus PPpW4	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Pifdecavirus IBBPF7A	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Pifdecavirus Pf10	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Pifdecavirus PFP1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Pifdecavirus PhiS1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Pifdecavirus pv22PfluR64PP	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Pifdecavirus UNOSLW1	5
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Pijolavirus PspYZU08	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Pollyceevirus pollyC	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Stubburvirus LKA1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Troedvirus Phi15	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Tunggulvirus f2	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Uliginvirus achelous	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Uliginvirus alpheus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Uliginvirus nerthus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Uliginvirus njord	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Uliginvirus uligo	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Bifseptvirus	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Gajwadongvirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Ghunavirus	16
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Phikmvvirus	16
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Pifdecavirus	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Pijolavirus	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Pollyceevirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Troedvirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Tunggulvirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ unclassified Uliginvirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Warsawvirus 3MF5	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Casjensviridae	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Casjensviridae|s__ Maxdohrnvirus SS2019XI	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Casjensviridae|s__ Phobosvirus phobos	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Casjensviridae|s__ Phobosvirus PspYZU01	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Drexlerviridae	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Drexlerviridae|s__	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Fredfastierviridae	10
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Fredfastierviridae|s__ Jamesmcgillvirus jv119X	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Fredfastierviridae|s__ Jamesmcgillvirus PaMx41	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Fredfastierviridae|s__ unclassified Jamesmcgillvirus	8
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae	22
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ Epaquintavirus Epa5	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ Pseudomonas virus Ab18	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ Pseudomonas virus Ab19	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ Pseudomonas virus LKO4	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ Pseudomonas virus M6	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ Pseudomonas virus MP1412	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ Pseudomonas virus PAE1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ Pseudomonas virus PaMx11	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ unclassified Abidjanvirus	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ unclassified Epaquintavirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Mesyanzhinovviridae|s__ unclassified Yuavirus	7
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Peduoviridae	6
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Peduoviridae|s__	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Peduoviridae|s__ Citexvirus BR319A	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Peduoviridae|s__ Citexvirus dobby	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Peduoviridae|s__ Citexvirus phiCTX	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Peduoviridae|s__ Phitrevirus phi3	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae	45
